transaction_id,timestamp,amount,transaction_hour,transaction_day,customer_age,customer_transaction_count_24h,customer_avg_amount,amount_deviation,is_new_device,is_new_location,distance_from_usual_location,failed_attempts_24h,transactions_last_10min,payment_method,merchant_category,customer_account_age_days,previous_chargebacks,ip_risk_score,device_risk_score,velocity_score,fraud_label
TXN100001,2026-08-16 16:36:53,6018.83,16,6,22,1,2333.49,2.58,0,1,336.6,0,0,CREDIT_CARD,electronics,51,0,0.319,0.111,0.03,0
TXN100002,2026-08-06 20:23:24,1974.88,20,3,43,0,1118.56,1.77,0,0,5.3,0,0,NET_BANKING,ecommerce,281,0,0.394,0.262,0.0,0
TXN100003,2026-08-15 05:11:01,453.1,5,5,18,7,1016.5,0.45,0,0,9.6,0,5,DEBIT_CARD,grocery,530,0,0.08,0.181,1.0,0
TXN100004,2026-08-15 05:04:40,4212.34,5,5,49,4,3525.71,1.19,0,0,8.6,0,0,UPI,ecommerce,393,0,0.373,0.443,0.12,0
TXN100005,2026-08-10 07:01:30,5356.77,7,0,46,2,2351.95,2.28,1,0,1.3,0,0,CREDIT_CARD,electronics,489,0,0.167,0.212,0.06,0
TXN100006,2026-08-13 00:13:45,422.6,0,3,52,2,766.61,0.55,0,0,6.0,0,0,CREDIT_CARD,luxury,207,0,0.274,0.538,0.06,0
TXN100007,2026-08-30 12:21:49,3200.06,12,6,24,3,1149.36,2.78,0,0,2.7,0,0,UPI,ecommerce,13,0,0.234,0.095,0.09,0
TXN100008,2026-09-01 11:14:49,304.35,11,1,38,1,672.12,0.45,0,1,407.6,0,0,NET_BANKING,gaming,301,0,0.268,0.399,0.03,0
TXN100009,2026-08-12 13:45:55,1209.72,13,2,49,6,937.72,1.29,0,0,4.4,0,0,CREDIT_CARD,ecommerce,315,0,0.303,0.16,0.18,0
TXN100010,2026-08-31 01:06:45,3398.78,1,0,44,1,4173.28,0.81,0,0,6.7,2,0,CREDIT_CARD,luxury,105,0,0.32,0.041,0.03,0
TXN100011,2026-08-31 11:14:16,5115.68,11,0,36,1,3631.97,1.41,0,0,10.7,0,0,UPI,travel,209,0,0.378,0.249,0.03,0
TXN100012,2026-08-11 22:20:13,36948.37,22,1,31,3,12224.88,3.02,0,0,11.7,0,0,UPI,luxury,293,0,0.046,0.37,0.09,0
TXN100013,2026-09-03 02:26:56,2722.91,2,3,40,0,6775.58,0.4,0,0,0.2,0,0,NET_BANKING,grocery,284,0,0.437,0.034,0.0,0
